Name,Usage,Parent,Tags,Value,Units
B_IMPACT,NUMERIC,AXUV.DIODEARRAY2.CH_09,,-0.021628311351334622,m
AOV_DEG,NUMERIC,AXUV.DIODEARRAY2.CH_09,,3.939399957656861,
DIODE_NUM,NUMERIC,AXUV.DIODEARRAY2.CH_09,,12.0,
LOS_DEG,NUMERIC,AXUV.DIODEARRAY2.CH_09,,2.621799945831299,
V_PEAK,NUMERIC,AXUV.DIODEARRAY2.CH_09,,0.2921999990940094,
AXUV.DIODEARRAY2.CH_10,SIGNAL,,,\AXUV.DIODEARRAY2.CH_10.CURRENT,
VOLTAGE,SIGNAL,AXUV.DIODEARRAY2.CH_10,,\AXUV.DIODEARRAY2.CH_10.VOLTAGE.RAW * -1,
VOLTAGE.RAW,SIGNAL,AXUV.DIODEARRAY2.CH_10,,\ACQ1001_639.CH_10,
CURRENT,SIGNAL,AXUV.DIODEARRAY2.CH_10,,\AXUV.DIODEARRAY2.CH_10.VOLTAGE / \AXUV.DIODEARRAY2.CH_10.RESISTOR,A
RESISTOR,NUMERIC,AXUV.DIODEARRAY2.CH_10,,220.4,Ohm
R,NUMERIC,AXUV.DIODEARRAY2.CH_10,,0.40500027854928694,m
Z,NUMERIC,AXUV.DIODEARRAY2.CH_10,,0.0,m
PHI,NUMERIC,AXUV.DIODEARRAY2.CH_10,,-2.095567941361601,m
B_IMPACT,NUMERIC,AXUV.DIODEARRAY2.CH_10,,-0.007219022820316586,m
AOV_DEG,NUMERIC,AXUV.DIODEARRAY2.CH_10,,3.536400079727173,
DIODE_NUM,NUMERIC,AXUV.DIODEARRAY2.CH_10,,11.0,
LOS_DEG,NUMERIC,AXUV.DIODEARRAY2.CH_10,,0.0,
V_PEAK,NUMERIC,AXUV.DIODEARRAY2.CH_10,,0.2989999949932098,
AXUV.DIODEARRAY2.CH_11,SIGNAL,,,\AXUV.DIODEARRAY2.CH_11.CURRENT,
VOLTAGE,SIGNAL,AXUV.DIODEARRAY2.CH_11,,\AXUV.DIODEARRAY2.CH_11.VOLTAGE.RAW * -1,
VOLTAGE.RAW,SIGNAL,AXUV.DIODEARRAY2.CH_11,,\ACQ1001_639.CH_11,
CURRENT,SIGNAL,AXUV.DIODEARRAY2.CH_11,,\AXUV.DIODEARRAY2.CH_11.VOLTAGE / \AXUV.DIODEARRAY2.CH_11.RESISTOR,A
RESISTOR,NUMERIC,AXUV.DIODEARRAY2.CH_11,,219.2,Ohm
R,NUMERIC,AXUV.DIODEARRAY2.CH_11,,0.40500027854928694,m
Z,NUMERIC,AXUV.DIODEARRAY2.CH_11,,0.0,m
PHI,NUMERIC,AXUV.DIODEARRAY2.CH_11,,-2.0932222634247895,m
B_IMPACT,NUMERIC,AXUV.DIODEARRAY2.CH_11,,0.00721902282031644,m
AOV_DEG,NUMERIC,AXUV.DIODEARRAY2.CH_11,,3.536400079727173,
DIODE_NUM,NUMERIC,AXUV.DIODEARRAY2.CH_11,,10.0,
LOS_DEG,NUMERIC,AXUV.DIODEARRAY2.CH_11,,-2.7713000774383545,
V_PEAK,NUMERIC,AXUV.DIODEARRAY2.CH_11,,0.3151000142097473,
AXUV.DIODEARRAY2.CH_12,SIGNAL,,,\AXUV.DIODEARRAY2.CH_12.CURRENT,
VOLTAGE,SIGNAL,AXUV.DIODEARRAY2.CH_12,,\AXUV.DIODEARRAY2.CH_12.VOLTAGE.RAW * -1,
VOLTAGE.RAW,SIGNAL,AXUV.DIODEARRAY2.CH_12,,\ACQ1001_639.CH_12,
CURRENT,SIGNAL,AXUV.DIODEARRAY2.CH_12,,\AXUV.DIODEARRAY2.CH_12.VOLTAGE / \AXUV.DIODEARRAY2.CH_12.RESISTOR,A
RESISTOR,NUMERIC,AXUV.DIODEARRAY2.CH_12,,219.4,Ohm
R,NUMERIC,AXUV.DIODEARRAY2.CH_12,,0.40500250693668555,m
Z,NUMERIC,AXUV.DIODEARRAY2.CH_12,,0.0,m
PHI,NUMERIC,AXUV.DIODEARRAY2.CH_12,,-2.09087659839429,m
B_IMPACT,NUMERIC,AXUV.DIODEARRAY2.CH_12,,0.021628311351334438,m
AOV_DEG,NUMERIC,AXUV.DIODEARRAY2.CH_12,,3.477799892425537,
DIODE_NUM,NUMERIC,AXUV.DIODEARRAY2.CH_12,,9.0,
LOS_DEG,NUMERIC,AXUV.DIODEARRAY2.CH_12,,-5.641600131988525,
V_PEAK,NUMERIC,AXUV.DIODEARRAY2.CH_12,,0.2921999990940094,
AXUV.DIODEARRAY2.CH_13,SIGNAL,,,\AXUV.DIODEARRAY2.CH_13.CURRENT,
VOLTAGE,SIGNAL,AXUV.DIODEARRAY2.CH_13,,\AXUV.DIODEARRAY2.CH_13.VOLTAGE.RAW * -1,
VOLTAGE.RAW,SIGNAL,AXUV.DIODEARRAY2.CH_13,,\ACQ1001_639.CH_13,
CURRENT,SIGNAL,AXUV.DIODEARRAY2.CH_13,,\AXUV.DIODEARRAY2.CH_13.VOLTAGE / \AXUV.DIODEARRAY2.CH_13.RESISTOR,A
RESISTOR,NUMERIC,AXUV.DIODEARRAY2.CH_13,,219.7,Ohm
R,NUMERIC,AXUV.DIODEARRAY2.CH_13,,0.4050069636747003,m
Z,NUMERIC,AXUV.DIODEARRAY2.CH_13,,0.0,m
PHI,NUMERIC,AXUV.DIODEARRAY2.CH_13,,-2.0885309720818745,m
B_IMPACT,NUMERIC,AXUV.DIODEARRAY2.CH_13,,0.035939418471978,m
AOV_DEG,NUMERIC,AXUV.DIODEARRAY2.CH_13,,3.4063000679016113,
DIODE_NUM,NUMERIC,AXUV.DIODEARRAY2.CH_13,,8.0,
LOS_DEG,NUMERIC,AXUV.DIODEARRAY2.CH_13,,-8.648900032043457,
V_PEAK,NUMERIC,AXUV.DIODEARRAY2.CH_13,,0.2987000048160553,
AXUV.DIODEARRAY2.CH_14,SIGNAL,,,\AXUV.DIODEARRAY2.CH_14.CURRENT,
VOLTAGE,SIGNAL,AXUV.DIODEARRAY2.CH_14,,\AXUV.DIODEARRAY2.CH_14.VOLTAGE.RAW * -1,
VOLTAGE.RAW,SIGNAL,AXUV.DIODEARRAY2.CH_14,,\ACQ1001_639.CH_14,
CURRENT,SIGNAL,AXUV.DIODEARRAY2.CH_14,,\AXUV.DIODEARRAY2.CH_14.VOLTAGE / \AXUV.DIODEARRAY2.CH_14.RESISTOR,A
RESISTOR,NUMERIC,AXUV.DIODEARRAY2.CH_14,,219.8,Ohm
R,NUMERIC,AXUV.DIODEARRAY2.CH_14,,0.40501364868976947,m
Z,NUMERIC,AXUV.DIODEARRAY2.CH_14,,0.0,m
PHI,NUMERIC,AXUV.DIODEARRAY2.CH_14,,-2.0861854102967587,m
B_IMPACT,NUMERIC,AXUV.DIODEARRAY2.CH_14,,0.0500998458365036,m
AOV_DEG,NUMERIC,AXUV.DIODEARRAY2.CH_14,,3.276299953460694,
DIODE_NUM,NUMERIC,AXUV.DIODEARRAY2.CH_14,,7.0,
LOS_DEG,NUMERIC,AXUV.DIODEARRAY2.CH_14,,-11.37660026550293,
V_PEAK,NUMERIC,AXUV.DIODEARRAY2.CH_14,,0.3019999861717224,
AXUV.DIODEARRAY2.CH_15,SIGNAL,,,\AXUV.DIODEARRAY2.CH_15.CURRENT,
VOLTAGE,SIGNAL,AXUV.DIODEARRAY2.CH_15,,\AXUV.DIODEARRAY2.CH_15.VOLTAGE.RAW * -1,
VOLTAGE.RAW,SIGNAL,AXUV.DIODEARRAY2.CH_15,,\ACQ1001_639.CH_15,
CURRENT,SIGNAL,AXUV.DIODEARRAY2.CH_15,,\AXUV.DIODEARRAY2.CH_15.VOLTAGE / \AXUV.DIODEARRAY2.CH_15.RESISTOR,A
RESISTOR,NUMERIC,AXUV.DIODEARRAY2.CH_15,,220.0,Ohm
R,NUMERIC,AXUV.DIODEARRAY2.CH_15,,0.405022561871558,m
Z,NUMERIC,AXUV.DIODEARRAY2.CH_15,,0.0,m
PHI,NUMERIC,AXUV.DIODEARRAY2.CH_15,,-2.0838399388438984,m
B_IMPACT,NUMERIC,AXUV.DIODEARRAY2.CH_15,,0.06405178964046139,m
AOV_DEG,NUMERIC,AXUV.DIODEARRAY2.CH_15,,3.230799913406372,
DIODE_NUM,NUMERIC,AXUV.DIODEARRAY2.CH_15,,6.0,
LOS_DEG,NUMERIC,AXUV.DIODEARRAY2.CH_15,,-14.022600173950195,
V_PEAK,NUMERIC,AXUV.DIODEARRAY2.CH_15,,0.2966000139713287,
AXUV.DIODEARRAY2.CH_16,SIGNAL,,,\AXUV.DIODEARRAY2.CH_16.CURRENT,
VOLTAGE,SIGNAL,AXUV.DIODEARRAY2.CH_16,,\AXUV.DIODEARRAY2.CH_16.VOLTAGE.RAW * -1,
VOLTAGE.RAW,SIGNAL,AXUV.DIODEARRAY2.CH_16,,\ACQ1001_639.CH_16,
CURRENT,SIGNAL,AXUV.DIODEARRAY2.CH_16,,\AXUV.DIODEARRAY2.CH_16.VOLTAGE / \AXUV.DIODEARRAY2.CH_16.RESISTOR,A
RESISTOR,NUMERIC,AXUV.DIODEARRAY2.CH_16,,219.5,Ohm
R,NUMERIC,AXUV.DIODEARRAY2.CH_16,,0.40503370307296654,m
Z,NUMERIC,AXUV.DIODEARRAY2.CH_16,,0.0,m
PHI,NUMERIC,AXUV.DIODEARRAY2.CH_16,,-2.0814945835222862,m
B_IMPACT,NUMERIC,AXUV.DIODEARRAY2.CH_16,,0.07774026976689717,m
AOV_DEG,NUMERIC,AXUV.DIODEARRAY2.CH_16,,3.3413000106811523,
DIODE_NUM,NUMERIC,AXUV.DIODEARRAY2.CH_16,,5.0,
LOS_DEG,NUMERIC,AXUV.DIODEARRAY2.CH_16,,-16.863399505615234,
V_PEAK,NUMERIC,AXUV.DIODEARRAY2.CH_16,,0.2879999876022339,
AXUV.DIODEARRAY2.CH_17,SIGNAL,,,\AXUV.DIODEARRAY2.CH_17.CURRENT,
VOLTAGE,SIGNAL,AXUV.DIODEARRAY2.CH_17,,\AXUV.DIODEARRAY2.CH_17.VOLTAGE.RAW * -1,
VOLTAGE.RAW,SIGNAL,AXUV.DIODEARRAY2.CH_17,,\ACQ1001_639.CH_17,
CURRENT,SIGNAL,AXUV.DIODEARRAY2.CH_17,,\AXUV.DIODEARRAY2.CH_17.VOLTAGE / \AXUV.DIODEARRAY2.CH_17.RESISTOR,A
RESISTOR,NUMERIC,AXUV.DIODEARRAY2.CH_17,,220.2,Ohm
R,NUMERIC,AXUV.DIODEARRAY2.CH_17,,0.40504707211014374,m
Z,NUMERIC,AXUV.DIODEARRAY2.CH_17,,0.0,m
PHI,NUMERIC,AXUV.DIODEARRAY2.CH_17,,-2.0791493701232504,m
B_IMPACT,NUMERIC,AXUV.DIODEARRAY2.CH_17,,0.0911215741134725,m
AOV_DEG,NUMERIC,AXUV.DIODEARRAY2.CH_17,,2.7107999324798584,
DIODE_NUM,NUMERIC,AXUV.DIODEARRAY2.CH_17,,4.0,
LOS_DEG,NUMERIC,AXUV.DIODEARRAY2.CH_17,,-19.23390007019043,
V_PEAK,NUMERIC,AXUV.DIODEARRAY2.CH_17,,0.2867000102996826,
AXUV.DIODEARRAY2.CH_18,SIGNAL,,,\AXUV.DIODEARRAY2.CH_18.CURRENT,
VOLTAGE,SIGNAL,AXUV.DIODEARRAY2.CH_18,,\AXUV.DIODEARRAY2.CH_18.VOLTAGE.RAW * -1,
VOLTAGE.RAW,SIGNAL,AXUV.DIODEARRAY2.CH_18,,\ACQ1001_639.CH_18,
CURRENT,SIGNAL,AXUV.DIODEARRAY2.CH_18,,\AXUV.DIODEARRAY2.CH_18.VOLTAGE / \AXUV.DIODEARRAY2.CH_18.RESISTOR,A
RESISTOR,NUMERIC,AXUV.DIODEARRAY2.CH_18,,220.2,Ohm
R,NUMERIC,AXUV.DIODEARRAY2.CH_18,,0.4050626687625015,m
Z,NUMERIC,AXUV.DIODEARRAY2.CH_18,,0.0,m
PHI,NUMERIC,AXUV.DIODEARRAY2.CH_18,,-2.076804324428753,m
B_IMPACT,NUMERIC,AXUV.DIODEARRAY2.CH_18,,0.10415363564982692,m
AOV_DEG,NUMERIC,AXUV.DIODEARRAY2.CH_18,,3.354300022125244,
DIODE_NUM,NUMERIC,AXUV.DIODEARRAY2.CH_18,,3.0,
LOS_DEG,NUMERIC,AXUV.DIODEARRAY2.CH_18,,-21.833099365234375,
V_PEAK,NUMERIC,AXUV.DIODEARRAY2.CH_18,,0.2709999978542328,
AXUV.DIODEARRAY2.CH_19,SIGNAL,,,\AXUV.DIODEARRAY2.CH_19.CURRENT,
VOLTAGE,SIGNAL,AXUV.DIODEARRAY2.CH_19,,\AXUV.DIODEARRAY2.CH_19.VOLTAGE.RAW * -1,
VOLTAGE.RAW,SIGNAL,AXUV.DIODEARRAY2.CH_19,,\ACQ1001_639.CH_19,
CURRENT,SIGNAL,AXUV.DIODEARRAY2.CH_19,,\AXUV.DIODEARRAY2.CH_19.VOLTAGE / \AXUV.DIODEARRAY2.CH_19.RESISTOR,A
RESISTOR,NUMERIC,AXUV.DIODEARRAY2.CH_19,,220.6,Ohm
R,NUMERIC,AXUV.DIODEARRAY2.CH_19,,0.4050804927727328,m
Z,NUMERIC,AXUV.DIODEARRAY2.CH_19,,0.0,m
PHI,NUMERIC,AXUV.DIODEARRAY2.CH_19,,-2.0744594722096896,m
B_IMPACT,NUMERIC,AXUV.DIODEARRAY2.CH_19,,0.11679906460511544,m
AOV_DEG,NUMERIC,AXUV.DIODEARRAY2.CH_19,,2.5873000621795654,
DIODE_NUM,NUMERIC,AXUV.DIODEARRAY2.CH_19,,2.0,
LOS_DEG,NUMERIC,AXUV.DIODEARRAY2.CH_19,,-24.185199737548828,
V_PEAK,NUMERIC,AXUV.DIODEARRAY2.CH_19,,0.2730999886989593,
AXUV.DIODEARRAY2.CH_20,SIGNAL,,,\AXUV.DIODEARRAY2.CH_20.CURRENT,
VOLTAGE,SIGNAL,AXUV.DIODEARRAY2.CH_20,,\AXUV.DIODEARRAY2.CH_20.VOLTAGE.RAW * -1,
VOLTAGE.RAW,SIGNAL,AXUV.DIODEARRAY2.CH_20,,\ACQ1001_639.CH_20,
CURRENT,SIGNAL,AXUV.DIODEARRAY2.CH_20,,\AXUV.DIODEARRAY2.CH_20.VOLTAGE / \AXUV.DIODEARRAY2.CH_20.RESISTOR,A
RESISTOR,NUMERIC,AXUV.DIODEARRAY2.CH_20,,220.4,Ohm
R,NUMERIC,AXUV.DIODEARRAY2.CH_20,,0.4051005438468332,m
Z,NUMERIC,AXUV.DIODEARRAY2.CH_20,,0.0,m
PHI,NUMERIC,AXUV.DIODEARRAY2.CH_20,,-2.072114839224197,m
B_IMPACT,NUMERIC,AXUV.DIODEARRAY2.CH_20,,0.12903045714090539,m
AOV_DEG,NUMERIC,AXUV.DIODEARRAY2.CH_20,,3.3998000621795654,
DIODE_NUM,NUMERIC,AXUV.DIODEARRAY2.CH_20,,1.0,
LOS_DEG,NUMERIC,AXUV.DIODEARRAY2.CH_20,,-26.775999069213867,
V_PEAK,NUMERIC,AXUV.DIODEARRAY2.CH_20,,0.2685000002384186,
DIODEARRAY3,STRUCTURE,AXUV,,,
PHI_SLIT,NUMERIC,AXUV.DIODEARRAY3,,-2.0943951023931953,
D_SLIT_DIOD,NUMERIC,AXUV.DIODEARRAY3,,0.025,m
R_SLIT,NUMERIC,AXUV.DIODEARRAY3,,0.38,m
Z_SLIT,NUMERIC,AXUV.DIODEARRAY3,,0.0,m
AXUV.DIODEARRAY3.CH_01,SIGNAL,,,\AXUV.DIODEARRAY3.CH_01.CURRENT,
VOLTAGE,SIGNAL,AXUV.DIODEARRAY3.CH_01,,\AXUV.DIODEARRAY3.CH_01.VOLTAGE.RAW * -1,
VOLTAGE.RAW,SIGNAL,AXUV.DIODEARRAY3.CH_01,,\ACQ1001_639.CH_62,
CURRENT,SIGNAL,AXUV.DIODEARRAY3.CH_01,,\AXUV.DIODEARRAY3.CH_01.VOLTAGE / \AXUV.DIODEARRAY3.CH_01.RESISTOR,A
RESISTOR,NUMERIC,AXUV.DIODEARRAY3.CH_01,,218.9,Ohm
R,NUMERIC,AXUV.DIODEARRAY3.CH_01,,0.4051005438468332,m
Z,NUMERIC,AXUV.DIODEARRAY3.CH_01,,0.0,m
PHI,NUMERIC,AXUV.DIODEARRAY3.CH_01,,-2.116675365562194,m
B_IMPACT,NUMERIC,AXUV.DIODEARRAY3.CH_01,,-0.1290304571409049,m
AOV_DEG,NUMERIC,AXUV.DIODEARRAY3.CH_01,,2.72379994392395,
DIODE_NUM,NUMERIC,AXUV.DIODEARRAY3.CH_01,,20.0,
LOS_DEG,NUMERIC,AXUV.DIODEARRAY3.CH_01,,23.856000900268555,
V_PEAK,NUMERIC,AXUV.DIODEARRAY3.CH_01,,0.2685000002384186,
AXUV.DIODEARRAY3.CH_02,SIGNAL,,,\AXUV.DIODEARRAY3.CH_02.CURRENT,
VOLTAGE,SIGNAL,AXUV.DIODEARRAY3.CH_02,,\AXUV.DIODEARRAY3.CH_02.VOLTAGE.RAW * -1,
VOLTAGE.RAW,SIGNAL,AXUV.DIODEARRAY3.CH_02,,\ACQ1001_639.CH_61,
CURRENT,SIGNAL,AXUV.DIODEARRAY3.CH_02,,\AXUV.DIODEARRAY3.CH_02.VOLTAGE / \AXUV.DIODEARRAY3.CH_02.RESISTOR,A
RESISTOR,NUMERIC,AXUV.DIODEARRAY3.CH_02,,219.0,Ohm
R,NUMERIC,AXUV.DIODEARRAY3.CH_02,,0.4050804927727327,m
Z,NUMERIC,AXUV.DIODEARRAY3.CH_02,,0.0,m
PHI,NUMERIC,AXUV.DIODEARRAY3.CH_02,,-2.114330732576701,m
B_IMPACT,NUMERIC,AXUV.DIODEARRAY3.CH_02,,-0.11679906460511491,m
AOV_DEG,NUMERIC,AXUV.DIODEARRAY3.CH_02,,3.3933000564575195,
DIODE_NUM,NUMERIC,AXUV.DIODEARRAY3.CH_02,,19.0,
LOS_DEG,NUMERIC,AXUV.DIODEARRAY3.CH_02,,21.418100357055664,
V_PEAK,NUMERIC,AXUV.DIODEARRAY3.CH_02,,0.2730999886989593,
AXUV.DIODEARRAY3.CH_03,SIGNAL,,,\AXUV.DIODEARRAY3.CH_03.CURRENT,
VOLTAGE,SIGNAL,AXUV.DIODEARRAY3.CH_03,,\AXUV.DIODEARRAY3.CH_03.VOLTAGE.RAW * -1,
VOLTAGE.RAW,SIGNAL,AXUV.DIODEARRAY3.CH_03,,\ACQ1001_639.CH_60,
CURRENT,SIGNAL,AXUV.DIODEARRAY3.CH_03,,\AXUV.DIODEARRAY3.CH_03.VOLTAGE / \AXUV.DIODEARRAY3.CH_03.RESISTOR,A
RESISTOR,NUMERIC,AXUV.DIODEARRAY3.CH_03,,218.8,Ohm
R,NUMERIC,AXUV.DIODEARRAY3.CH_03,,0.4050626687625015,m
Z,NUMERIC,AXUV.DIODEARRAY3.CH_03,,0.0,m
PHI,NUMERIC,AXUV.DIODEARRAY3.CH_03,,-2.111985880357638,m
B_IMPACT,NUMERIC,AXUV.DIODEARRAY3.CH_03,,-0.10415363564982669,m
AOV_DEG,NUMERIC,AXUV.DIODEARRAY3.CH_03,,3.0943000316619873,
DIODE_NUM,NUMERIC,AXUV.DIODEARRAY3.CH_03,,18.0,
LOS_DEG,NUMERIC,AXUV.DIODEARRAY3.CH_03,,18.96739959716797,
V_PEAK,NUMERIC,AXUV.DIODEARRAY3.CH_03,,0.2709999978542328,
AXUV.DIODEARRAY3.CH_04,SIGNAL,,,\AXUV.DIODEARRAY3.CH_04.CURRENT,
VOLTAGE,SIGNAL,AXUV.DIODEARRAY3.CH_04,,\AXUV.DIODEARRAY3.CH_04.VOLTAGE.RAW * -1,
VOLTAGE.RAW,SIGNAL,AXUV.DIODEARRAY3.CH_04,,\ACQ1001_639.CH_59,
CURRENT,SIGNAL,AXUV.DIODEARRAY3.CH_04,,\AXUV.DIODEARRAY3.CH_04.VOLTAGE / \AXUV.DIODEARRAY3.CH_04.RESISTOR,A
RESISTOR,NUMERIC,AXUV.DIODEARRAY3.CH_04,,219.4,Ohm
R,NUMERIC,AXUV.DIODEARRAY3.CH_04,,0.4050470721101438,m
Z,NUMERIC,AXUV.DIODEARRAY3.CH_04,,0.0,m
PHI,NUMERIC,AXUV.DIODEARRAY3.CH_04,,-2.10964083466314,m
B_IMPACT,NUMERIC,AXUV.DIODEARRAY3.CH_04,,-0.0911215741134719,m
AOV_DEG,NUMERIC,AXUV.DIODEARRAY3.CH_04,,3.4518001079559326,
DIODE_NUM,NUMERIC,AXUV.DIODEARRAY3.CH_04,,17.0,
LOS_DEG,NUMERIC,AXUV.DIODEARRAY3.CH_04,,16.37660026550293,
V_PEAK,NUMERIC,AXUV.DIODEARRAY3.CH_04,,0.2867000102996826,
AXUV.DIODEARRAY3.CH_05,SIGNAL,,,\AXUV.DIODEARRAY3.CH_05.CURRENT,
VOLTAGE,SIGNAL,AXUV.DIODEARRAY3.CH_05,,\AXUV.DIODEARRAY3.CH_05.VOLTAGE.RAW * -1,
VOLTAGE.RAW,SIGNAL,AXUV.DIODEARRAY3.CH_05,,\ACQ1001_639.CH_58,
CURRENT,SIGNAL,AXUV.DIODEARRAY3.CH_05,,\AXUV.DIODEARRAY3.CH_05.VOLTAGE / \AXUV.DIODEARRAY3.CH_05.RESISTOR,A
RESISTOR,NUMERIC,AXUV.DIODEARRAY3.CH_05,,219.1,Ohm
R,NUMERIC,AXUV.DIODEARRAY3.CH_05,,0.40503370307296654,m
Z,NUMERIC,AXUV.DIODEARRAY3.CH_05,,0.0,m
PHI,NUMERIC,AXUV.DIODEARRAY3.CH_05,,-2.1072956212641043,m
B_IMPACT,NUMERIC,AXUV.DIODEARRAY3.CH_05,,-0.0777402697668969,m
AOV_DEG,NUMERIC,AXUV.DIODEARRAY3.CH_05,,3.100800037384033,
DIODE_NUM,NUMERIC,AXUV.DIODEARRAY3.CH_05,,16.0,
LOS_DEG,NUMERIC,AXUV.DIODEARRAY3.CH_05,,13.867799758911133,
V_PEAK,NUMERIC,AXUV.DIODEARRAY3.CH_05,,0.2879999876022339,
AXUV.DIODEARRAY3.CH_06,SIGNAL,,,\AXUV.DIODEARRAY3.CH_06.CURRENT,
VOLTAGE,SIGNAL,AXUV.DIODEARRAY3.CH_06,,\AXUV.DIODEARRAY3.CH_06.VOLTAGE.RAW * -1,
VOLTAGE.RAW,SIGNAL,AXUV.DIODEARRAY3.CH_06,,\ACQ1001_639.CH_57,
CURRENT,SIGNAL,AXUV.DIODEARRAY3.CH_06,,\AXUV.DIODEARRAY3.CH_06.VOLTAGE / \AXUV.DIODEARRAY3.CH_06.RESISTOR,A
RESISTOR,NUMERIC,AXUV.DIODEARRAY3.CH_06,,219.0,Ohm
R,NUMERIC,AXUV.DIODEARRAY3.CH_06,,0.405022561871558,m
Z,NUMERIC,AXUV.DIODEARRAY3.CH_06,,0.0,m
PHI,NUMERIC,AXUV.DIODEARRAY3.CH_06,,-2.104950265942492,m
B_IMPACT,NUMERIC,AXUV.DIODEARRAY3.CH_06,,-0.06405178964046106,m
AOV_DEG,NUMERIC,AXUV.DIODEARRAY3.CH_06,,3.497299909591675,
DIODE_NUM,NUMERIC,AXUV.DIODEARRAY3.CH_06,,15.0,
LOS_DEG,NUMERIC,AXUV.DIODEARRAY3.CH_06,,11.228699684143066,
V_PEAK,NUMERIC,AXUV.DIODEARRAY3.CH_06,,0.2966000139713287,
AXUV.DIODEARRAY3.CH_07,SIGNAL,,,\AXUV.DIODEARRAY3.CH_07.CURRENT,
VOLTAGE,SIGNAL,AXUV.DIODEARRAY3.CH_07,,\AXUV.DIODEARRAY3.CH_07.VOLTAGE.RAW * -1,
VOLTAGE.RAW,SIGNAL,AXUV.DIODEARRAY3.CH_07,,\ACQ1001_639.CH_56,
CURRENT,SIGNAL,AXUV.DIODEARRAY3.CH_07,,\AXUV.DIODEARRAY3.CH_07.VOLTAGE / \AXUV.DIODEARRAY3.CH_07.RESISTOR,A
RESISTOR,NUMERIC,AXUV.DIODEARRAY3.CH_07,,219.1,Ohm
R,NUMERIC,AXUV.DIODEARRAY3.CH_07,,0.40501364868976947,m
Z,NUMERIC,AXUV.DIODEARRAY3.CH_07,,0.0,m
PHI,NUMERIC,AXUV.DIODEARRAY3.CH_07,,-2.1026047944896322,m
B_IMPACT,NUMERIC,AXUV.DIODEARRAY3.CH_07,,-0.050099845836503766,m
AOV_DEG,NUMERIC,AXUV.DIODEARRAY3.CH_07,,3.5104000568389893,
DIODE_NUM,NUMERIC,AXUV.DIODEARRAY3.CH_07,,14.0,
LOS_DEG,NUMERIC,AXUV.DIODEARRAY3.CH_07,,8.313799858093262,
V_PEAK,NUMERIC,AXUV.DIODEARRAY3.CH_07,,0.3019999861717224,
AXUV.DIODEARRAY3.CH_08,SIGNAL,,,\AXUV.DIODEARRAY3.CH_08.CURRENT,
VOLTAGE,SIGNAL,AXUV.DIODEARRAY3.CH_08,,\AXUV.DIODEARRAY3.CH_08.VOLTAGE.RAW * -1,
VOLTAGE.RAW,SIGNAL,AXUV.DIODEARRAY3.CH_08,,\ACQ1001_639.CH_55,
CURRENT,SIGNAL,AXUV.DIODEARRAY3.CH_08,,\AXUV.DIODEARRAY3.CH_08.VOLTAGE / \AXUV.DIODEARRAY3.CH_08.RESISTOR,A
RESISTOR,NUMERIC,AXUV.DIODEARRAY3.CH_08,,219.0,Ohm
R,NUMERIC,AXUV.DIODEARRAY3.CH_08,,0.4050069636747003,m
Z,NUMERIC,AXUV.DIODEARRAY3.CH_08,,0.0,m
PHI,NUMERIC,AXUV.DIODEARRAY3.CH_08,,-2.1002592327045164,m
B_IMPACT,NUMERIC,AXUV.DIODEARRAY3.CH_08,,-0.03593941847197822,m
